date,covidCases,BTCUSD
2017-08-28,,4382.6601562
2017-08-29,,4579.0200195
2017-08-30,,4565.2998047
2017-08-31,,4703.3901367
2017-09-01,,4892.0097656
2017-09-02,,4578.7700195
2017-09-03,,4582.9599609
2017-09-04,,4236.3100586
2017-09-05,,4376.5297852
2017-09-06,,4597.1201172
2017-09-07,,4599.8798828
2017-09-08,,4228.75
2017-09-09,,4226.0600586
2017-09-10,,4122.9399414
2017-09-11,,4161.2700195
2017-09-12,,4130.8100586
2017-09-13,,3882.5900879
2017-09-14,,3154.9499512
2017-09-15,,3637.5200195
2017-09-16,,3625.0400391
2017-09-17,,3582.8798828
2017-09-18,,4065.1999512
2017-09-19,,3924.9699707
2017-09-20,,3905.9499512
2017-09-21,,3631.0400391
2017-09-22,,3630.6999512
2017-09-23,,3792.3999023
2017-09-24,,3682.8400879
2017-09-25,,3926.0700684
2017-09-26,,3892.3500977
2017-09-27,,4200.6699219
2017-09-28,,4174.7299805
2017-09-29,,4163.0698242
2017-09-30,,4338.7099609
2017-10-01,,4403.7402344
2017-10-02,,4409.3198242
2017-10-03,,4317.4799805
2017-10-04,,4229.3598633
2017-10-05,,4328.4101562
2017-10-06,,4370.8100586
2017-10-07,,4426.8901367
2017-10-08,,4610.4799805
2017-10-09,,4772.0200195
2017-10-10,,4781.9902344
2017-10-11,,4826.4799805
2017-10-12,,5446.9101562
2017-10-13,,5647.2099609
2017-10-14,,5831.7900391
2017-10-15,,5678.1899414
2017-10-16,,5725.5898438
2017-10-17,,5605.5097656
2017-10-18,,5590.6899414
2017-10-19,,5708.5200195
2017-10-20,,6011.4501953
2017-10-21,,6031.6000977
2017-10-22,,6008.4199219
2017-10-23,,5930.3198242
2017-10-24,,5526.6401367
2017-10-25,,5750.7998047
2017-10-26,,5904.8300781
2017-10-27,,5780.8999023
2017-10-28,,5753.0898438
2017-10-29,,6153.8500977
2017-10-30,,6130.5297852
2017-10-31,,6468.3999023
2017-11-01,,6767.3100586
2017-11-02,,7078.5
2017-11-03,,7207.7597656
2017-11-04,,7379.9501953
2017-11-05,,7407.4101562
2017-11-06,,7022.7597656
2017-11-07,,7144.3798828
2017-11-08,,7459.6899414
2017-11-09,,7143.5800781
2017-11-10,,6618.1401367
2017-11-11,,6357.6000977
2017-11-12,,5950.0698242
2017-11-13,,6559.4902344
2017-11-14,,6635.75
2017-11-15,,7315.5400391
2017-11-16,,7871.6899414
2017-11-17,,7708.9902344
2017-11-18,,7790.1499023
2017-11-19,,8036.4902344
2017-11-20,,8200.6396484
