date,^FVX,^GSPC,^TNX,^TYX
1962-01-02,3.8800001,70.9599991,4.0599999,
1962-01-03,3.8699999,71.1299973,4.0300002,
1962-01-04,3.8599999,70.6399994,3.99,
1962-01-05,3.8900001,69.6600037,4.02,
1962-01-08,3.9100001,69.1200027,4.0300002,
1962-01-09,3.9300001,69.1500015,4.0500002,
1962-01-10,3.9400001,68.9599991,4.0700002,
1962-01-11,3.9400001,69.3700027,4.0799999,
1962-01-12,3.95,69.6100006,4.0799999,
1962-01-15,3.96,69.4700012,4.0999999,
1962-01-16,3.98,69.0699997,4.1300001,
1962-01-17,3.97,68.3199997,4.1199999,
1962-01-18,3.96,68.3899994,4.1100001,
1962-01-19,3.95,68.75,4.1100001,
1962-01-22,3.9300001,68.8099976,4.0900002,
1962-01-23,3.9400001,68.2900009,4.1100001,
1962-01-24,3.9300001,68.4000015,4.0999999,
1962-01-25,3.9400001,68.3499985,4.1100001,
1962-01-26,3.97,68.1299973,4.1100001,
1962-01-29,3.98,67.9000015,4.1199999,
1962-01-30,3.98,68.1699982,4.1100001,
1962-01-31,3.99,68.8399963,4.0999999,
1962-02-01,4.0,69.2600021,4.0900002,
1962-02-02,3.97,69.8099976,4.0799999,
1962-02-05,3.96,69.8799973,4.0700002,
1962-02-06,3.96,69.9599991,4.0599999,
1962-02-07,3.95,70.4199982,4.0700002,
1962-02-08,3.9300001,70.5800018,4.0700002,
1962-02-09,3.9100001,70.4800034,4.0500002,
1962-02-12,,70.4599991,,
1962-02-13,3.9100001,70.4499969,4.0300002,
1962-02-14,3.9000001,70.4199982,4.0300002,
1962-02-15,3.9000001,70.7399979,4.02,
1962-02-16,3.8800001,70.5899963,4.02,
1962-02-19,3.8599999,70.4100037,4.0100002,
1962-02-20,3.8800001,70.6600037,4.0500002,
1962-02-21,3.8599999,70.3199997,4.0300002,
1962-02-23,3.8299999,70.1600037,4.02,
1962-02-26,3.8,69.7600021,4.0,
1962-02-27,3.8,69.8899994,4.0100002,
1962-02-28,3.77,69.9599991,4.0,
1962-03-01,3.71,70.1999969,3.98,
1962-03-02,3.72,70.1600037,3.98,
1962-03-05,3.74,70.0100021,4.0,
1962-03-06,3.74,69.7799988,4.0100002,
1962-03-07,3.74,69.6900024,4.0,
1962-03-08,3.72,70.1900024,3.98,
1962-03-09,3.71,70.4199982,3.96,
1962-03-12,3.73,70.4000015,3.9400001,
1962-03-13,3.7,70.5999985,3.9200001,
1962-03-14,3.72,70.9100037,3.9300001,
1962-03-15,3.73,71.0599976,3.96,
1962-03-16,3.72,70.9400024,3.96,
1962-03-19,3.71,70.8499985,3.9300001,
1962-03-20,3.6700001,70.6600037,3.9100001,
1962-03-21,3.6099999,70.5100021,3.8599999,
1962-03-22,3.5799999,70.4000015,3.8299999,
1962-03-23,3.6199999,70.4499969,3.8699999,
1962-03-26,3.6500001,69.8899994,3.8900001,
1962-03-27,3.6500001,69.6999969,3.9000001,
1962-03-28,3.6400001,70.0400009,3.9000001,
1962-03-29,3.6400001,70.0100021,3.9000001,
1962-03-30,3.6099999,69.5500031,3.8599999,
1962-04-02,3.5799999,69.3700027,3.8599999,
1962-04-03,3.55,68.8099976,3.8299999,
1962-04-04,3.51,68.4899979,3.78,
1962-04-05,3.5599999,68.9100037,3.8399999,
1962-04-06,3.55,68.8399963,3.8099999,
1962-04-09,3.5699999,68.3099976,3.8299999,
1962-04-10,3.5699999,68.5599976,3.8299999,
1962-04-11,3.6099999,68.4100037,3.8699999,
1962-04-12,3.6099999,67.9000015,3.8599999,
1962-04-13,3.5999999,67.9000015,3.8499999,
1962-04-16,3.5999999,67.5999985,3.8299999,
1962-04-17,3.5999999,67.9000015,3.8199999,
1962-04-18,3.5999999,68.2699966,3.8099999,
1962-04-19,3.5999999,68.5899963,3.8199999,
1962-04-23,3.6300001,68.5299988,3.8599999,
1962-04-24,3.6500001,68.4599991,3.8699999,
1962-04-25,3.6600001,67.7099991,3.8800001,
1962-04-26,3.6600001,67.0500031,3.8900001,
1962-04-27,3.6400001,66.3000031,3.8599999,
1962-04-30,3.6400001,65.2399979,3.8599999,
1962-05-01,3.6300001,65.6999969,3.8499999,
1962-05-02,3.6400001,65.9899979,3.8599999,
1962-05-03,3.6400001,66.5299988,3.8599999,
1962-05-04,3.6400001,66.2399979,3.8699999,
1962-05-07,3.6400001,66.0199966,3.8599999,
1962-05-08,3.6199999,65.1699982,3.8499999,
1962-05-09,3.5999999,64.2600021,3.8199999,
1962-05-10,3.6099999,63.5699997,3.8299999,
1962-05-11,3.6099999,62.6500015,3.8199999,
1962-05-14,3.6300001,63.0999985,3.8499999,
1962-05-15,3.6700001,64.2900009,3.8699999,
1962-05-16,3.6700001,64.2699966,3.8599999,
1962-05-17,3.6700001,63.9300003,3.8699999,
1962-05-18,3.72,63.8199997,3.9300001,
1962-05-21,3.74,63.5900002,3.9400001,
1962-05-22,3.71,62.3400002,3.9300001,
1962-05-23,3.6900001,61.1100006,3.9100001,
1962-05-24,3.6800001,60.6199989,3.9000001,
1962-05-25,3.6600001,59.4700012,3.8800001,
1962-05-28,3.6500001,55.5,3.8699999,
1962-05-29,3.6600001,58.0800018,3.8900001,
1962-05-31,3.6600001,59.6300011,3.9000001,
1962-06-01,3.6400001,59.3800011,3.8900001,
1962-06-04,3.6300001,57.2700005,3.8800001,
1962-06-05,3.6400001,57.5699997,3.8900001,
1962-06-06,3.6199999,58.3899994,3.8900001,
1962-06-07,3.5999999,58.4000015,3.8699999,
1962-06-08,3.5999999,58.4500008,3.8599999,
1962-06-11,3.5899999,57.8199997,3.8699999,
1962-06-12,3.5699999,56.3400002,3.8599999,
1962-06-13,3.5699999,55.5,3.8699999,
1962-06-14,3.5999999,54.3300018,3.9000001,
1962-06-15,3.5999999,55.8899994,3.8900001,
1962-06-18,3.6099999,55.7400017,3.9100001,
1962-06-19,3.6400001,55.5400009,3.9300001,
1962-06-20,3.6300001,54.7799988,3.9200001,
1962-06-21,3.6099999,53.5900002,3.9000001,
1962-06-22,3.6099999,52.6800003,3.9000001,
1962-06-25,3.6800001,52.4500008,3.95,
1962-06-26,3.71,52.3199997,3.97,
1962-06-27,3.6800001,52.5999985,3.96,
1962-06-28,3.76,54.4099998,3.98,
